Time,Solana Market Cap,Binance Market Cap,Cronos Market Cap,Ethereum Market Cap,Fantom Market Cap,Polymath Market Cap,Tron Market Cap,XRP Market Cap
2021-08-07,10716940358.77982,54880391473.926216,3571343304.234149,368235028077.73975,720647564.4701829,249365255.13691688,5397882773.255632,37894868456.38714
2021-08-08,10274392698.30968,52793795858.293,3456716509.5774093,352872000029.7298,679417589.0356774,239102536.7301072,5148038779.156252,36263438396.09534
2021-08-09,10540000830.327097,54561563300.34518,3551543240.9199524,363242219000.1384,704837374.2777652,241403102.2911171,5290242085.324332,37583709631.509
2021-08-10,11060502356.763584,57472301267.84832,3596298555.596192,368146417310.3951,749925580.2211019,258859084.78650567,5338971182.436883,39514002150.6668
2021-08-11,11911671445.966951,60548205332.75795,3697391080.725245,371120421692.36896,808678510.347117,262911822.52990627,5947158350.97321,46598977910.73202
2021-08-12,11719191265.4597,59332763048.56222,3509168059.0636234,356667351344.9034,781920556.791099,251023072.80708864,6021641054.956832,44736297538.85398
2021-08-13,12659136195.430464,63016725340.47912,3841443255.956322,387650495386.42346,881306170.7325988,264036488.8185728,6406569630.018123,50454533105.66228
2021-08-14,12632010978.831278,63344089223.87856,3793988372.888589,383333523376.4307,860302903.905274,267558754.33733356,6655468650.885936,60003066118.75983
2021-08-15,15290073919.010555,63784043199.77024,3798591327.805245,387075388591.617,882829423.8431739,269214029.17932856,6637746041.814234,59584210571.94573
2021-08-16,18474853367.36561,65224358497.13265,3752429523.4857874,369733082268.3038,1038656137.197804,270996371.85362417,6511524171.907341,55864357102.57856
2021-08-17,18770890602.314026,62280876139.74908,3584021286.706561,354390048289.1804,1017230720.050714,260143286.88586763,6139318039.293763,50803400116.72417
2021-08-18,21274810508.661808,62145691624.65151,3625427157.59019,357527359807.9584,1078504625.7681875,255136190.0194468,6117407163.550883,53716679098.06286
2021-08-19,20809209324.240616,65726343115.57676,3674270258.303026,360685430760.7975,1222624982.949285,254776901.13177624,6191415882.864267,54568786813.40489
2021-08-20,22425622491.819256,70037579538.80284,3879909280.442379,383483277312.2806,1249159905.0667005,280998765.0214591,6427544176.160671,58384958845.83498
2021-08-21,21281170312.308853,69659003452.0214,3920049883.969084,378500212583.4824,1448888148.4741378,278389202.6188341,6315952574.901067,56683485420.24004
2021-08-22,20991469522.08777,69395126714.92691,3942283439.228828,380718215752.5816,1418153773.6647058,280932325.50237846,6301988260.494347,57001021097.1346
2021-08-23,22022469783.777603,77267801785.69308,4015426348.420782,389578100858.59686,1415722202.1509454,295773486.1623638,6443448570.0598,58032501462.3368
2021-08-24,20724670218.176235,73440151948.04544,3880415966.0730295,373455291323.226,1245081741.666223,290371984.8664094,6118736855.660526,53731037233.17458
2021-08-25,20802776475.036797,77788566247.38934,3988026928.63552,378980836224.5277,1267339757.7292793,314879186.92031986,6270617577.917241,54461699709.8884
2021-08-26,22227352877.21953,75086628042.77792,3786751145.932501,367860898491.3749,1138371605.850529,304709025.23560584,6046520091.622303,51253633200.265205
2021-08-27,25629594571.27215,76421141931.36273,3962463381.260278,383644799228.1656,1244726945.267564,315703591.3736166,6320438421.240973,54816173108.79227
2021-08-28,28329094352.267197,75061435375.20934,3938145168.716352,380750077080.9469,1321216884.77961,310885094.8634886,6330187143.34419,53420204731.61571
2021-08-29,27304152716.88658,74282424323.4163,4054561331.849697,378786220548.7996,1466877316.625561,314627665.68146306,6344233158.752125,53214009871.00871
2021-08-30,31920673369.62922,71302040315.8845,3876439345.277422,378977088509.6317,2008173267.472473,306057394.89533675,6182969917.670349,51552699668.6147
2021-08-31,31632430274.413536,72059236389.63062,3900425791.248805,403657783560.1046,1840967827.9445665,313174852.02908427,6375540061.60153,55449845566.08223
2021-09-01,32218252304.33078,75616163844.14787,4064217566.372392,444243407062.371,2226922547.9737263,327527007.33465344,6800091205.241318,57176500918.3438
2021-09-02,37338512656.086975,74934946404.6364,4111280089.416829,444936758974.6008,2163513894.249038,337633641.3097555,7148388173.684283,58518869426.32522
2021-09-03,42571321335.87376,75183682793.79868,4202270437.141349,462019852288.094,2444800446.262078,580649445.549119,7266989718.11827,60097905361.71874
2021-09-04,40720531105.91831,77210985540.40028,4327258938.411889,456929768632.2518,2691677682.1698246,781608140.4879893,7307897951.948546,58328018007.69259
2021-09-05,41412015757.628494,77580110429.22977,4684972122.300214,463973074693.0737,3057335091.3695607,637324689.4428418,7501222320.402261,60369683926.971634
2021-09-06,47904979408.22902,76823850589.04639,5143584107.261806,463012228435.44434,3582621704.7990885,669156177.7833854,7470598235.550796,64681235824.03411
2021-09-07,51322390022.24564,64719149899.39477,4250825258.449904,404516339491.4938,3586901905.562941,682167285.2065483,6131994068.630317,52560384655.15143
2021-09-08,55627271034.27753,64391771501.81906,4316644613.619958,413866162089.4392,4050558279.65296,649155839.8835527,6687840798.037855,51742102326.78837
2021-09-09,55264334912.28869,65361763607.67077,4595093349.769836,403936419964.8866,4214437559.679321,650489919.683855,6681789913.860314,50955416305.62672
2021-09-10,52325632036.02054,62065949287.93618,4313339454.692184,376789025177.2447,3803587189.4523454,577638943.3762243,6502702520.455925,49040455295.85219
2021-09-11,52220905554.67757,62448302557.367645,4499989497.432322,383321475836.21576,3905971376.782805,562217580.1681399,6818065573.3463,50064588773.404015
2021-09-12,51473851354.0501,64725512440.31579,4638852980.664594,402834673220.724,3703795582.271969,565343349.3009146,8121828722.868065,52198672027.55827
2021-09-13,49653193581.09068,61836604514.0765,4440681610.4917145,387934440817.1596,3333223611.603233,690583932.514109,7525668046.247975,49713889918.76721
2021-09-14,46493824080.66087,63965140618.53152,4640927868.146696,402557959131.822,3030569751.086994,630759783.7439532,8444974859.453039,51112488081.680565
2021-09-15,46994383928.49487,66397294535.7022,4800380208.307193,421477522819.9356,3663895754.699183,623115824.689215,8589280503.382593,52164873856.70661
2021-09-16,45094080634.83586,65615252928.99098,4838554373.915247,419510540250.7301,3348089244.1954284,594977274.5406172,8339272681.633529,50840881076.693855
2021-09-17,43906621683.99821,63043960569.65185,4772195771.697916,401297385415.4547,3195796699.933668,656606494.2653698,7581606026.630986,49776618499.80079
2021-09-18,50565779823.43124,63476626164.37432,4770810657.644889,403306688199.6298,3365328264.1426005,622251483.5678788,7596066905.453642,50095864483.0054
2021-09-19,45589411995.17647,63338039422.34862,4683143531.469827,392513622186.47833,3687157041.5127535,596212020.4548161,7458164352.522046,48976892028.34062
2021-09-20,39478971644.30225,55807688333.67029,4064839007.556442,348966852277.93604,2881075160.270873,526025198.6499744,6556784000.345539,42739802420.452415
2021-09-21,36248052948.59296,53142685672.709526,3800428536.0290017,322261202754.7664,2466037900.3844914,471235205.4733187,6289670610.567988,40536055692.84123
2021-09-22,44125796474.8162,58386015867.00316,4199622746.56664,359840797180.9415,3151122430.9179955,537518377.2374791,7069292148.140335,46525234505.14472
2021-09-23,44686382478.55573,59372501849.194,4324981895.577963,371681653192.37537,3186634822.2261696,583774367.705915,7118167888.167971,46670917777.496605
2021-09-24,41548029058.16029,55591125028.50592,4043608493.7092304,349627373001.0197,3031419123.083328,519051902.1111693,6671234628.202998,44406741436.03866
2021-09-25,40572796552.98121,54335702254.9369,4013997392.2145634,347010586155.9232,3160129114.7339725,525428294.4646462,6537410952.122335,44234883872.33624
2021-09-26,40356234736.375404,54001567375.674,4003009687.9977713,359680654321.7558,2998710106.201264,503363036.646988,6379219115.529487,44610627727.60149
2021-09-27,40533909717.20195,51867223800.6998,3945907432.607524,346015184170.8788,3248267834.9404325,498030032.19292486,6181215435.679347,43056599715.41218
2021-09-28,39030320223.35616,51521247447.87336,3714166471.126331,330646942649.06793,3027156511.3393874,457143437.74419767,5995099723.487753,42026727617.622604
2021-09-29,40196990252.30242,56833140653.68402,3787342013.933387,335476370747.3378,3027821254.7462683,464510175.8379912,6168662679.492114,43276000832.10583
2021-09-30,42018890336.78696,59862261975.878426,4019244740.581617,355017980604.5097,3062318452.90437,603771726.0895419,6418268353.952703,44546255848.78191
2021-10-01,47883980396.73367,65027593878.11336,4365979202.86776,388950236002.1381,3605839485.8745146,639155246.9504458,6784289536.113838,48635128492.83734
2021-10-02,50355827427.96756,66403151475.90375,4438436664.471578,399455864987.66345,3720764460.582949,659728912.0631936,6731408408.525218,48624896672.828384
2021-10-03,51567116629.13389,66727470440.89087,4609639276.002836,403971441903.5559,3741785456.8801866,738017439.4231945,6827302617.522502,49365458816.466354
2021-10-04,50072719494.08351,66091266343.13519,4549247879.456891,400955543856.1877,3578887502.7926083,800473184.1379939,6739064613.560965,48793771729.00825
2021-10-05,49008643389.98899,68612810246.75586,4586947971.881432,415494260964.53455,3578491533.426988,753560564.1456941,6951318081.410361,50742040289.27556
2021-10-06,46002942256.33727,67279547298.14212,4748029661.163819,423560000564.3804,4035392439.1737776,762778549.2146844,6845844415.724512,50510105397.084496
2021-10-07,46145608847.85937,67866518612.22393,4696090167.343331,423610266229.8694,5188644586.290247,747518267.4459537,6840491203.821792,50032615318.54273
2021-10-08,47345863609.85284,64773787608.15221,4850501344.939507,419918377734.5956,5853283045.264336,696888419.9238609,6987887893.779382,49574670484.36498
2021-10-09,47177850270.14671,65232908458.29749,4902364605.89095,421836191767.0316,5550829942.273198,687896986.2655265,7377292772.800161,54500306202.6913
2021-10-10,44343249688.30569,62527397932.99623,4773632507.791331,404765054558.1925,5199713376.654638,702614635.4479474,7011748492.703033,53174487201.32791
