,Time,Fantom Market Cap
318,1613952000000,873526800.4820342
319,1614038400000,1143277472.9753447
320,1614124800000,1109793139.5981107
321,1614211200000,1680905335.49925
322,1614297600000,1614495565.327395
323,1614384000000,1327030173.148295
324,1614470400000,1181467744.648973
325,1614556800000,1072596088.6662555
326,1614643200000,1505596122.590907
327,1614729600000,1342630098.6067362
328,1614816000000,1345629050.9245944
329,1614902400000,1177216366.8796253
330,1614988800000,1168859473.5642998
331,1615075200000,1127071356.4391162
332,1615161600000,1137123374.9371495
333,1615248000000,1159492091.346097
334,1615334400000,1345623657.5842452
335,1615420800000,1179516702.131633
336,1615507200000,1130682881.1503475
337,1615593600000,994661189.2962676
338,1615680000000,1046675723.85639
339,1615766400000,1012968673.4772534
340,1615852800000,948111559.5228922
341,1615939200000,965208200.1196004
342,1616025600000,1103614451.122732
343,1616112000000,1016979706.4545431
344,1616198400000,1053368005.5419171
345,1616284800000,1099525975.5517113
346,1616371200000,1066064683.2858996
347,1616457600000,1022389580.5691547
348,1616544000000,966431497.9118085
349,1616630400000,869042922.8238268
350,1616716800000,821738124.1390465
351,1616803200000,937291316.0226756
352,1616889600000,916498473.5018079
353,1616976000000,1010002648.0923754
354,1617062400000,1103386651.5105262
355,1617148800000,1089801012.1075866
356,1617235200000,1073819183.9845881
357,1617321600000,1122774733.292168
358,1617408000000,1078144434.3151453
359,1617494400000,995969064.9216479
360,1617580800000,1038322239.286561
361,1617667200000,1176019747.1606119
362,1617753600000,1170336673.1594665
363,1617840000000,1066208591.0707359
364,1617926400000,1103294824.928106
365,1618012800000,1145486775.5005646
366,1618099200000,1118507418.1004355
367,1618185600000,1160269915.5689511
368,1618272000000,1084806308.5420992
369,1618358400000,1066049779.1262354
370,1618444800000,1061641655.2631474
371,1618531200000,1128728446.1839125
372,1618617600000,1134185816.037253
373,1618704000000,1267278276.4190123
374,1618790400000,1064352993.0810152
375,1618876800000,1017236056.6579514
376,1618963200000,1016490199.2791051
377,1619049600000,949814152.3839856
378,1619136000000,855504857.0647588
379,1619222400000,798557109.1384267
380,1619308800000,718954483.4447492
381,1619395200000,762812860.1086493
382,1619481600000,987521102.7844024
383,1619568000000,1327688184.7142212
384,1619654400000,1496174591.979125
385,1619740800000,1518006909.9978566
386,1619827200000,1894129959.4273942
387,1619913600000,2006965947.2001147
388,1620000000000,1920886174.3492405
389,1620086400000,1811522653.6924324
390,1620172800000,1689535131.6177447
391,1620259200000,1986565329.929618
392,1620345600000,1854366834.4862995
393,1620432000000,1972554439.8999782
394,1620518400000,2069030782.1983109
395,1620604800000,2343791075.0550303
396,1620691200000,1948709323.9921362
397,1620777600000,1986499842.3963907
398,1620864000000,1614829750.5545335
399,1620950400000,1550048168.8517532
400,1621036800000,1753418394.6897602
401,1621123200000,1576561737.8404727
402,1621209600000,1595333597.3252308
403,1621296000000,1484206428.9059887
404,1621382400000,1690351386.5602899
405,1621468800000,1060912773.1161007
406,1621555200000,1135307593.3729074
407,1621641600000,894444559.2209101
408,1621728000000,752227938.097165
409,1621814400000,639852684.6243683
410,1621900800000,862221479.1796114
411,1621987200000,834242667.1373198
412,1622073600000,963553984.661277
413,1622160000000,882942477.7916253
414,1622246400000,767823705.4611346
415,1622332800000,715549439.602145
416,1622419200000,747074760.9548044
417,1622505600000,817181772.1762556
418,1622592000000,789889274.9962101
419,1622678400000,901434346.4277102
420,1622764800000,975510285.8979433
421,1622851200000,856801623.0866219
422,1622937600000,790166415.9264811
423,1623024000000,862691593.9071357
424,1623110400000,768490303.639613
425,1623196800000,750455477.5387343
426,1623283200000,779018790.0454874
427,1623369600000,716684159.1656424
428,1623456000000,641843237.5552572
429,1623542400000,617967197.7408689
430,1623628800000,710268477.5071099
431,1623715200000,761973364.399823
432,1623801600000,741660454.8430282
433,1623888000000,707741004.9515963
434,1623974400000,807220380.4484712
435,1624060800000,752798586.0694907
436,1624147200000,788270518.0216765
437,1624233600000,787855407.7983671
438,1624320000000,605569530.6683128
439,1624406400000,547416989.4929441
440,1624492800000,627558185.8145531
441,1624579200000,612354745.9481854
442,1624665600000,534714385.84712327
443,1624752000000,535385670.3822279
444,1624838400000,549235466.4376565
445,1624924800000,574135837.8153019
446,1625011200000,601412820.8173103
447,1625097600000,605779297.5994596
448,1625184000000,564879722.6020672
449,1625270400000,578020263.097412
450,1625356800000,593320917.0877391
451,1625443200000,622113360.2857645
452,1625529600000,591055123.2220829
453,1625616000000,633097685.9007777
454,1625702400000,655329132.2893914
455,1625788800000,604104366.5268879
456,1625875200000,601320641.2400131
457,1625961600000,577494254.5020497
458,1626048000000,588705846.8706976
459,1626134400000,572771808.9704893
460,1626220800000,564483095.2730889
461,1626307200000,557423904.3102354
462,1626393600000,537235326.7579309
463,1626480000000,493733364.19136864
464,1626566400000,497735511.6517059
465,1626652800000,486377084.28554064
466,1626739200000,440083531.0484134
467,1626825600000,409942990.64428425
468,1626912000000,450081389.9426073
469,1626998400000,469057859.258989
470,1627084800000,483960186.70710695
471,1627171200000,494979954.86953527
472,1627257600000,505164761.2919587
473,1627344000000,538894228.63026
474,1627430400000,567307674.6026633
475,1627516800000,576209394.7714208
476,1627603200000,635877762.381705
477,1627689600000,640946028.9045565
478,1627776000000,657520074.50691
479,1627862400000,625724257.2524797
480,1627948800000,640063683.3987851
