,Time,Tron Market Cap
449,1625270400000,4758781823.610569
450,1625356800000,4791306599.509775
451,1625443200000,4846858583.414551
452,1625529600000,4646707802.664574
453,1625616000000,4648866287.921184
454,1625702400000,4618022351.739675
455,1625788800000,4397188048.739893
456,1625875200000,4480289556.295508
457,1625961600000,4416356903.160505
458,1626048000000,4451204211.338376
459,1626134400000,4333926240.170025
460,1626220800000,4267207437.762833
461,1626307200000,4301690069.4475975
462,1626393600000,4150344687.1031895
463,1626480000000,3994646511.1851406
464,1626566400000,4027700145.751839
465,1626652800000,4032100423.90554
466,1626739200000,3874345229.675333
467,1626825600000,3646469427.6063704
468,1626912000000,3865817169.6322036
469,1626998400000,3966691141.815768
470,1627084800000,4011559466.9897447
471,1627171200000,4111849488.434332
472,1627257600000,4180283325.082295
473,1627344000000,4199579876.7479286
474,1627430400000,4293409697.6823916
475,1627516800000,4331102188.549069
476,1627603200000,4444549123.868562
477,1627689600000,4535158363.86432
478,1627776000000,4608623371.928847
479,1627862400000,4527102778.667968
480,1627948800000,4640158766.52447
481,1628035200000,4605877375.892519
482,1628121600000,4842934084.450417
483,1628208000000,5034227560.821857
484,1628294400000,5141509123.132286
485,1628380800000,5397882773.255632
486,1628467200000,5148038779.156252
487,1628553600000,5290242085.324332
488,1628640000000,5338971182.436883
489,1628726400000,5947158350.97321
490,1628812800000,6021641054.956832
491,1628899200000,6406569630.018123
492,1628985600000,6655468650.885936
493,1629072000000,6637746041.814234
494,1629158400000,6511524171.907341
495,1629244800000,6139318039.293763
496,1629331200000,6117407163.550883
497,1629417600000,6191415882.864267
498,1629504000000,6427544176.160671
499,1629590400000,6315952574.901067
500,1629676800000,6301988260.494347
501,1629763200000,6443448570.0598
502,1629849600000,6118736855.660526
503,1629936000000,6270617577.917241
504,1630022400000,6046520091.622303
505,1630108800000,6320438421.240973
506,1630195200000,6330187143.34419
507,1630281600000,6344233158.752125
508,1630368000000,6182969917.670349
509,1630454400000,6375540061.60153
510,1630540800000,6800091205.241318
511,1630627200000,7148388173.684283
512,1630713600000,7266989718.11827
513,1630800000000,7307897951.948546
514,1630886400000,7501222320.402261
515,1630972800000,7470598235.550796
516,1631059200000,6131994068.630317
517,1631145600000,6687840798.037855
518,1631232000000,6681789913.860314
519,1631318400000,6502702520.455925
520,1631404800000,6818065573.3463
521,1631491200000,8121828722.868065
522,1631577600000,7525668046.247975
523,1631664000000,8444974859.453039
524,1631750400000,8589280503.382593
525,1631836800000,8339272681.633529
526,1631923200000,7581606026.630986
527,1632009600000,7596066905.453642
528,1632096000000,7458164352.522046
529,1632182400000,6556784000.345539
530,1632268800000,6289670610.567988
531,1632355200000,7069292148.140335
532,1632441600000,7118167888.167971
533,1632528000000,6671234628.202998
534,1632614400000,6537410952.122335
535,1632700800000,6379219115.529487
536,1632787200000,6181215435.679347
537,1632873600000,5995099723.487753
538,1632960000000,6168662679.492114
539,1633046400000,6418268353.952703
540,1633132800000,6784289536.113838
541,1633219200000,6731408408.525218
542,1633305600000,6827302617.522502
543,1633392000000,6739064613.560965
544,1633478400000,6951318081.410361
545,1633564800000,6845844415.724512
546,1633651200000,6840491203.821792
547,1633737600000,6987887893.779382
548,1633824000000,7377292772.800161
549,1633910400000,7011748492.703033
550,1633996800000,6959986242.651012
551,1634083200000,6837490720.476953
552,1634169600000,7021113992.167866
553,1634256000000,6973557839.023721
554,1634342400000,7115856141.172952
555,1634428800000,7125295197.333704
556,1634515200000,7084499833.207126
557,1634601600000,7077763831.056798
558,1634688000000,7216154845.333405
559,1634774400000,7427018478.3108015
560,1634860800000,7167822075.415305
561,1634947200000,7190116969.528042
562,1635033600000,7257673146.668205
563,1635120000000,7120232022.683978
564,1635206400000,7257158646.969951
565,1635292800000,7282683639.927293
566,1635379200000,6545953693.220797
567,1635465600000,6843888444.194762
568,1635552000000,7114392045.653388
569,1635638400000,7237963615.93737
570,1635724800000,7268165381.6175165
571,1635811200000,7211485284.483595
572,1635897600000,7659729754.110484
573,1635984000000,7585709950.119215
574,1636070400000,7401636619.151913
575,1636156800000,7437973266.997576
576,1636243200000,7361634823.021682
577,1636329600000,7504695263.105039
578,1636416000000,7918145103.810273
579,1636502400000,8211030802.96012
580,1636588800000,7614435238.2881775
581,1636675200000,7850471647.349402
582,1636761600000,7756925639.262989
583,1636848000000,8115673606.83335
584,1636934400000,8367331915.194213
585,1637020800000,8909910645.264053
586,1637107200000,7915661175.209758
587,1637193600000,8002973514.378011
588,1637280000000,7193797543.362866
589,1637366400000,7484602980.586602
590,1637452800000,7578711113.940686
591,1637539200000,7777029909.090457
592,1637625600000,7309254929.039865
593,1637712000000,7400227729.488686
594,1637798400000,7032037434.8212385
595,1637884800000,7188344042.415866
596,1637971200000,6608747634.419821
597,1638057600000,6671601350.88517
598,1638144000000,6806348116.029976
599,1638230400000,6938881686.471685
600,1638316800000,6942321047.392308
601,1638403200000,7046000683.218771
602,1638489600000,6995626253.671201
603,1638576000000,6778696851.033451
604,1638662400000,6234303627.954628
605,1638748800000,6035288316.513233
606,1638835200000,8903699478.044302
607,1638921600000,9229329944.133205
608,1639008000000,9448679541.978643
609,1639094400000,9141151123.652592
610,1639180800000,9051651304.504873
611,1639267200000,9329884574.105316
612,1639353600000,9283126285.94631
613,1639440000000,8677911024.888115
614,1639526400000,8872208697.900026
615,1639612800000,8930802803.419674
616,1639699200000,8686429917.300417
617,1639785600000,8133145278.036827
618,1639872000000,8211718397.8537
619,1639958400000,8118309440.189822
620,1640044800000,7959933182.514406
621,1640131200000,8100379682.235535
622,1640217600000,8100635514.41875
623,1640304000000,8430958585.155201
624,1640390400000,8284164400.91559
625,1640476800000,8356628444.472547
626,1640563200000,8318536665.088092
627,1640649600000,8290655513.40085
628,1640736000000,7913059728.280379
629,1640822400000,7771043749.287916
630,1640908800000,7922530750.102761
631,1640995200000,7696011278.03727
632,1641081600000,7835256986.28311
633,1641168000000,7936357895.404004
634,1641254400000,7877103423.190404
635,1641340800000,7820742052.681737
636,1641427200000,7306843014.448678
637,1641513600000,7276002630.1016655
638,1641600000000,6948734392.08716
639,1641686400000,6700800919.199058
640,1641772800000,6725768320.484817
641,1641859200000,6479162320.32872
642,1641945600000,6631556032.224934
643,1642032000000,6952130690.178968
644,1642118400000,6781268903.416167
645,1642204800000,6876820997.350934
646,1642291200000,6981792569.351243
647,1642377600000,7120209501.752694
648,1642464000000,7219174836.066005
649,1642550400000,6985859656.395757
650,1642636800000,7056383739.285192
651,1642723200000,6915067657.468345
652,1642809600000,6222070889.684478
653,1642896000000,5777973700.279718
654,1642982400000,5856262052.587541
655,1643068800000,5645316393.034499
656,1643155200000,5705623103.24
657,1643241600000,5761545714.16578
658,1643328000000,5759903695.113467
659,1643414400000,5879664638.751628
660,1643500800000,6152246986.7808275
661,1643587200000,6001497325.805464
662,1643673600000,6004039263.75785
663,1643760000000,6109212878.220522
664,1643846400000,5992321151.965238
665,1643932800000,6076043898.351555
666,1644019200000,6556308005.237055
667,1644105600000,6628911341.675292
668,1644192000000,6761651568.786258
669,1644278400000,7009644993.84351
670,1644364800000,6945429753.846851
671,1644451200000,7118701902.260894
672,1644537600000,7007982198.877834
673,1644624000000,6524742459.230458
674,1644710400000,6442949835.1921215
675,1644796800000,6558561392.388857
676,1644883200000,6573430764.716086
677,1644969600000,6815958007.333448
678,1645056000000,6788181953.955462
679,1645142400000,6371329450.7738
680,1645228800000,6451453444.555758
681,1645315200000,6471680482.261996
682,1645401600000,6344658709.643487
683,1645488000000,6124433696.109699
684,1645574400000,6397633608.201607
685,1645660800000,6214144329.147232
686,1645747200000,6231860911.279884
687,1645833600000,6102662325.585559
688,1645920000000,6044895178.014933
689,1646006400000,5910532395.650284
690,1646092800000,6270077051.892489
691,1646179200000,6318593218.908888
692,1646265600000,6258599698.978448
693,1646352000000,6109289027.265313
694,1646438400000,5920221388.819149
695,1646524800000,6158916001.958376
696,1646611200000,5994247376.677032
697,1646697600000,5945641776.602922
698,1646784000000,6159651892.861443
699,1646870400000,6182785047.624863
700,1646956800000,6095183396.74773
701,1647043200000,6144160715.052086
702,1647129600000,6074133408.309541
703,1647216000000,6041733435.772571
704,1647302400000,6113770683.384976
705,1647388800000,6156606874.904727
706,1647475200000,6207998440.205969
707,1647561600000,6184437656.876998
708,1647648000000,6287651610.679391
709,1647734400000,6291979283.680014
710,1647820800000,6250260360.027414
711,1647907200000,6280768446.540996
712,1647993600000,6438513554.919491
713,1648080000000,6533392928.800625
714,1648166400000,6663070616.031911
715,1648252800000,6557137509.846743
716,1648339200000,6715404603.890046
717,1648425600000,7005992687.035125
718,1648512000000,7061509685.169052
719,1648598400000,7041555661.189295
720,1648684800000,7454721479.102833
721,1648771200000,7474549340.863073
722,1648857600000,7606618133.079142
723,1648944000000,7455027619.387495
724,1649030400000,7422134585.083509
725,1649116800000,7194639897.12875
726,1649203200000,7069254718.53571
727,1649289600000,6436733771.336339
728,1649376000000,6562939354.612315
729,1649462400000,6342603676.846702
730,1649519815000,6360527381.194998
