,Time,Cronos Volume
531,1632355200000,52832035.54326304
532,1632441600000,74675472.68017434
533,1632528000000,60679809.354113124
534,1632614400000,31129874.05127776
535,1632700800000,44150225.49811609
536,1632787200000,37037841.58066617
537,1632873600000,34884085.91857816
538,1632960000000,36808215.84962238
539,1633046400000,39172827.665796645
540,1633132800000,55236140.05405216
541,1633219200000,40119047.56373376
542,1633305600000,64248472.51054147
543,1633392000000,59303326.09212635
544,1633478400000,60194175.85882163
545,1633564800000,81163309.57803029
546,1633651200000,68881663.15681076
547,1633737600000,82110713.76995203
548,1633824000000,53501242.79764057
549,1633910400000,49012366.47558102
550,1633996800000,57456303.07145707
551,1634083200000,67026557.933224835
552,1634169600000,52756816.030388586
553,1634256000000,40367277.151037134
554,1634342400000,62608868.82834585
555,1634428800000,44091229.01543962
556,1634515200000,37430068.643743776
557,1634601600000,41751789.523812495
558,1634688000000,41656026.02709171
559,1634774400000,40583386.72168486
560,1634860800000,62615834.17599774
561,1634947200000,48453589.84602703
562,1635033600000,36136677.715641044
563,1635120000000,49456788.642152764
564,1635206400000,46152310.91370516
565,1635292800000,57590597.12300837
566,1635379200000,105400881.26987186
567,1635465600000,117056601.88081923
568,1635552000000,147449879.31731364
569,1635638400000,170649700.10903716
570,1635724800000,499813179.328483
571,1635811200000,348648164.812657
572,1635897600000,388215923.53504205
573,1635984000000,398770954.94005054
574,1636070400000,578275385.9271016
575,1636156800000,1670498022.117874
576,1636243200000,564466640.6001234
577,1636329600000,389782191.46232235
578,1636416000000,1056802371.8172605
579,1636502400000,369191395.2825214
580,1636588800000,263932615.66678542
581,1636675200000,177711402.10510954
582,1636761600000,214159912.3884457
583,1636848000000,571586792.794352
584,1636934400000,543309803.1293336
585,1637020800000,1087236711.4901536
586,1637107200000,534362727.73376226
587,1637193600000,2021533304.2460387
588,1637280000000,1224935866.3140595
589,1637366400000,604234721.0752151
590,1637452800000,514601069.0930208
591,1637539200000,2180022253.91815
592,1637625600000,1640622800.580066
593,1637712000000,1919728651.3548598
594,1637798400000,2128307291.8241746
595,1637884800000,1655722224.9590867
596,1637971200000,1192384573.4879322
597,1638057600000,1249313032.9715085
598,1638144000000,982020808.4133971
599,1638230400000,586510709.3829265
600,1638316800000,654348672.536764
601,1638403200000,753259248.7823186
602,1638489600000,422992511.57917625
603,1638576000000,513700786.0294881
604,1638662400000,813440503.3390403
605,1638748800000,377238129.53993934
606,1638835200000,523391893.71108764
607,1638921600000,697734784.8282448
608,1639008000000,350653197.07319134
609,1639094400000,311766872.43043447
610,1639180800000,278439241.7568994
611,1639267200000,229131002.6291377
612,1639353600000,272845522.1528106
613,1639440000000,276199423.906099
614,1639526400000,250587198.21118075
615,1639612800000,311808863.74334335
616,1639699200000,204440280.95102024
617,1639785600000,228088901.0142938
618,1639872000000,161334820.6407896
619,1639958400000,172250285.9887458
620,1640044800000,239971710.9344437
621,1640131200000,212128168.81120926
622,1640217600000,238974643.6286806
623,1640304000000,409054870.6923429
624,1640390400000,677750794.9969953
625,1640476800000,372569226.2827641
626,1640563200000,345301340.17282236
627,1640649600000,259855810.2865865
628,1640736000000,342577941.00775784
629,1640822400000,246712787.4593468
630,1640908800000,207038650.2068854
631,1640995200000,228628203.38999858
632,1641081600000,160022509.0549634
633,1641168000000,182927309.6025011
634,1641254400000,192812361.50171104
635,1641340800000,180979573.12637642
636,1641427200000,269128558.3493574
637,1641513600000,248602214.85599762
638,1641600000000,253635791.82537267
639,1641686400000,192696300.82056987
640,1641772800000,144711234.5734238
641,1641859200000,186430381.7376576
642,1641945600000,149661722.7960571
643,1642032000000,186213320.10491958
644,1642118400000,152828493.43770158
645,1642204800000,135609904.75685152
646,1642291200000,123317787.49873391
647,1642377600000,101904465.41176353
648,1642464000000,131857612.17392188
649,1642550400000,162150942.7636625
650,1642636800000,127728322.43404391
651,1642723200000,203677335.93854663
652,1642809600000,251481322.27652562
653,1642896000000,235020831.71685943
654,1642982400000,182526012.27187145
655,1643068800000,227289783.6593996
656,1643155200000,166948021.21384662
657,1643241600000,210119608.59259787
658,1643328000000,147983363.41081825
659,1643414400000,138252883.01134384
660,1643500800000,129864500.72822918
661,1643587200000,109327943.68518132
662,1643673600000,130737590.6666087
663,1643760000000,122332093.33866884
664,1643846400000,109707833.00988214
665,1643932800000,101485053.09067169
666,1644019200000,130382689.67789522
667,1644105600000,152700094.40210545
668,1644192000000,113787931.40025872
669,1644278400000,215140739.24730435
670,1644364800000,245308653.5513768
671,1644451200000,161623353.2057449
672,1644537600000,273337149.64985687
673,1644624000000,205514714.43324742
674,1644710400000,162724289.59476823
675,1644796800000,240667354.25409627
676,1644883200000,224988149.67783794
677,1644969600000,172789788.3512021
678,1645056000000,119092680.12195157
679,1645142400000,151501157.09490907
680,1645228800000,172957703.15125567
681,1645315200000,97105444.2026488
682,1645401600000,113033495.51105401
683,1645488000000,147816344.9785507
684,1645574400000,139442305.39271966
685,1645660800000,128769907.46696027
686,1645747200000,226408732.477305
687,1645833600000,134356988.83835608
688,1645920000000,92189041.49029616
689,1646006400000,97629304.15328982
690,1646092800000,143475998.57603902
691,1646179200000,142063806.10180363
692,1646265600000,107184444.21232073
693,1646352000000,86066851.5343029
694,1646438400000,94632670.60007061
695,1646524800000,59424608.01482712
696,1646611200000,69290257.38803019
697,1646697600000,89801278.41911784
698,1646784000000,77399324.80285205
699,1646870400000,94433027.39939547
700,1646956800000,77618799.75641854
701,1647043200000,68696381.7656847
702,1647129600000,47981266.260116175
703,1647216000000,41989707.72255411
704,1647302400000,59790099.76743898
705,1647388800000,64036391.70007586
706,1647475200000,106602475.93840632
707,1647561600000,58540539.729276456
708,1647648000000,69950149.0713632
709,1647734400000,54999385.86629212
710,1647820800000,51520800.16894073
711,1647907200000,52231986.18434541
712,1647993600000,76458338.03594436
713,1648080000000,92370015.79558001
714,1648166400000,85734423.97529961
715,1648252800000,95579868.21457501
716,1648339200000,53809660.080968015
717,1648425600000,89085639.700693
718,1648512000000,161605811.21571368
719,1648598400000,105229472.83635668
720,1648684800000,84107493.50374922
721,1648771200000,104321740.19212832
722,1648857600000,120408835.45655052
723,1648944000000,97567859.94177948
724,1649030400000,78236753.33683445
725,1649116800000,86855017.21550946
726,1649203200000,71512993.506883
727,1649289600000,88100434.95269527
728,1649376000000,66808080.021960296
729,1649462400000,66422910.99103893
730,1649521006000,48989374.362135865
