,Time,Binance Volume
352,1616889600000,3020922155.4859643
353,1616976000000,3199011140.306709
354,1617062400000,2755690876.723518
355,1617148800000,4420529271.282305
356,1617235200000,4729218327.57605
357,1617321600000,4712826090.978723
358,1617408000000,5101756341.085761
359,1617494400000,3728232295.6971846
360,1617580800000,3051189764.3514285
361,1617667200000,4196270409.388373
362,1617753600000,6375820134.793064
363,1617840000000,7619517549.798651
364,1617926400000,5991138735.199007
365,1618012800000,5947228476.547801
366,1618099200000,7892324625.270909
367,1618185600000,6929265661.660218
368,1618272000000,16807622340.893429
369,1618358400000,6503314558.299444
370,1618444800000,7668480752.21945
371,1618531200000,5168188713.510612
372,1618617600000,7767607467.081216
373,1618704000000,6111930356.074312
374,1618790400000,6790452848.375536
375,1618876800000,8755730468.082388
376,1618963200000,10147802771.886824
377,1619049600000,9391918685.628746
378,1619136000000,9896634545.450838
379,1619222400000,11177606704.159044
380,1619308800000,4991522596.359383
381,1619395200000,4198996731.129913
382,1619481600000,5295872672.712616
383,1619568000000,4398525003.733665
384,1619654400000,4808744050.916693
385,1619740800000,8239013550.86044
386,1619827200000,7224919616.980516
387,1619913600000,5343009038.165392
388,1620000000000,4766464032.459792
389,1620086400000,6575775049.089207
390,1620172800000,7324619316.396851
391,1620259200000,5349087812.5937
392,1620345600000,5775171467.713766
393,1620432000000,4590421650.503598
394,1620518400000,4816848613.341271
395,1620604800000,5216360584.046523
396,1620691200000,6201737490.209549
397,1620777600000,5966857158.70286
398,1620864000000,5510123316.514754
399,1620950400000,3750429562.6200943
400,1621036800000,4033761226.8427687
401,1621123200000,4542873645.857639
402,1621209600000,4900067856.480875
403,1621296000000,5743719776.894899
404,1621382400000,3909605067.2186456
405,1621468800000,10259751518.669456
406,1621555200000,7099930189.172725
407,1621641600000,6909718073.525422
408,1621728000000,4283705164.2144713
409,1621814400000,4782475318.354452
410,1621900800000,8284875340.299084
411,1621987200000,6260895244.653375
412,1622073600000,6989052888.121206
413,1622160000000,6241842478.556876
414,1622246400000,5712344599.171066
415,1622332800000,4498400345.0652275
416,1622419200000,4709152915.355526
417,1622505600000,5388131344.604982
418,1622592000000,5219256634.640035
419,1622678400000,7211249339.156458
420,1622764800000,5648032962.147617
421,1622851200000,7120226608.464222
