,Time,Polymath Market Cap
310,1613260800000,160417503.09439766
311,1613347200000,151166188.96240234
312,1613433600000,153113498.00587848
313,1613520000000,146430258.03033796
314,1613606400000,157899198.40157917
315,1613692800000,275665936.12300295
316,1613779200000,277758269.6776915
317,1613865600000,276891023.7861288
318,1613952000000,280097184.06598794
319,1614038400000,240530022.46372798
320,1614124800000,192624276.20005527
321,1614211200000,254332864.4953775
322,1614297600000,239396580.65971154
323,1614384000000,241568595.8354306
324,1614470400000,285454747.6539338
325,1614556800000,259541639.97736982
326,1614643200000,277995185.9194145
327,1614729600000,293695283.6476146
328,1614816000000,310180370.4150814
329,1614902400000,366114226.4691683
330,1614988800000,346266984.07509476
331,1615075200000,341903859.04585946
332,1615161600000,346556431.17680776
333,1615248000000,350906719.9034039
334,1615334400000,365715402.4994122
335,1615420800000,346534866.7127235
336,1615507200000,396804866.5058217
337,1615593600000,381377757.69790524
338,1615680000000,388889534.233061
339,1615766400000,416466247.81729573
340,1615852800000,420385577.8618156
341,1615939200000,485230411.6833353
342,1616025600000,447449877.26173085
343,1616112000000,424850319.8700735
344,1616198400000,444037153.1381529
345,1616284800000,433779058.89776796
346,1616371200000,419065132.133963
347,1616457600000,424641062.1595795
348,1616544000000,478503873.9372286
349,1616630400000,437910584.2260292
350,1616716800000,408444455.13474697
351,1616803200000,442325991.8821223
352,1616889600000,464383514.02075887
353,1616976000000,484877559.0915436
354,1617062400000,533925267.1785658
355,1617148800000,541751198.8358351
356,1617235200000,508866436.2740944
357,1617321600000,495047663.47719276
358,1617408000000,511919120.341472
359,1617494400000,486242697.3567288
360,1617580800000,503483512.1610542
361,1617667200000,452416234.5805566
362,1617753600000,409743563.23885614
363,1617840000000,324218700.4531503
364,1617926400000,386052180.0211933
365,1618012800000,434035035.4707239
366,1618099200000,443948754.6676816
367,1618185600000,481429693.9156955
368,1618272000000,415368616.18459415
369,1618358400000,408675340.8649957
370,1618444800000,378062278.3148395
371,1618531200000,393452147.70160973
372,1618617600000,359545753.8076101
373,1618704000000,402270471.10656863
374,1618790400000,311252982.57898813
375,1618876800000,340579572.1085108
376,1618963200000,327677837.5294884
377,1619049600000,316967073.8020627
378,1619136000000,269298286.84741473
379,1619222400000,244076344.18484786
380,1619308800000,276965648.8984314
381,1619395200000,265057489.34500563
382,1619481600000,310376273.2275539
383,1619568000000,332374252.77915245
384,1619654400000,322446081.36041623
385,1619740800000,307977612.8680149
386,1619827200000,319335220.4565681
387,1619913600000,339047276.14392555
388,1620000000000,330600861.5273476
389,1620086400000,336763212.2171724
390,1620172800000,299395476.43427634
391,1620259200000,322219982.3627374
392,1620345600000,313718143.2716521
393,1620432000000,353677584.4243621
394,1620518400000,343170989.7916447
395,1620604800000,342441896.51045907
396,1620691200000,313689558.3812378
397,1620777600000,341726405.89510274
398,1620864000000,294118657.608503
399,1620950400000,280620378.65234107
400,1621036800000,298561553.5384279
401,1621123200000,276762830.1265402
402,1621209600000,267491128.94281012
403,1621296000000,247824739.6515068
404,1621382400000,258381123.2405658
405,1621468800000,183066834.609795
406,1621555200000,213966932.7738152
407,1621641600000,221570195.4958794
408,1621728000000,223738626.0779545
409,1621814400000,179069914.4373537
410,1621900800000,201390487.2337304
411,1621987200000,196169335.196674
412,1622073600000,216515763.47303012
413,1622160000000,264009979.00481844
414,1622246400000,228197362.96151206
415,1622332800000,205436824.5826753
416,1622419200000,204350362.60768318
417,1622505600000,209622464.7034494
418,1622592000000,204714758.70344338
419,1622678400000,212346320.32723477
420,1622764800000,218133612.31330746
421,1622851200000,207134497.7625049
422,1622937600000,195147274.47383907
423,1623024000000,209285115.78168598
424,1623110400000,192182354.3451374
425,1623196800000,193872118.15828717
426,1623283200000,196092283.3131075
427,1623369600000,212106753.3702306
428,1623456000000,182288280.2025031
429,1623542400000,169691636.0604252
430,1623628800000,187201106.92348936
431,1623715200000,188763646.6198945
432,1623801600000,184633491.99512038
433,1623888000000,175341634.60303542
434,1623974400000,172119810.9442879
435,1624060800000,169129721.75789738
436,1624147200000,162953556.42543966
437,1624233600000,164470340.26115686
438,1624320000000,115495898.57311423
439,1624406400000,100105073.33735363
440,1624492800000,108362516.46609634
441,1624579200000,119230363.19029583
442,1624665600000,120524389.64882825
443,1624752000000,121212058.71800181
444,1624838400000,125876213.53088035
445,1624924800000,135235900.72657728
446,1625011200000,144447482.60515454
447,1625097600000,153837009.56429192
448,1625184000000,165485179.9434086
449,1625270400000,162272599.3509136
450,1625356800000,169675073.2967337
451,1625443200000,174136606.34840542
452,1625529600000,170010964.05576602
453,1625616000000,173226199.56485885
454,1625702400000,183294996.5709445
455,1625788800000,156982027.92272335
456,1625875200000,159909360.62883008
457,1625961600000,161986676.02642018
458,1626048000000,168647219.54834428
459,1626134400000,173853696.2539432
460,1626220800000,170810360.055336
461,1626307200000,164761893.26513085
462,1626393600000,157219233.0636832
463,1626480000000,143101605.00430986
464,1626566400000,146086981.07345873
465,1626652800000,148483113.15347293
466,1626739200000,144428437.666998
467,1626825600000,155801109.86494797
468,1626912000000,161025010.68274534
469,1626998400000,164467374.2441223
470,1627084800000,164636389.20344472
471,1627171200000,167334108.3765857
472,1627257600000,190142011.0596536
473,1627344000000,201657485.36609566
474,1627430400000,207563346.08325765
475,1627516800000,203314602.47096393
476,1627603200000,215070410.84275165
477,1627689600000,237461395.71293965
478,1627776000000,236324698.54703408
479,1627862400000,226673517.9514277
480,1627948800000,235195289.8931304
481,1628035200000,225654305.91898924
482,1628121600000,232099347.99361873
483,1628208000000,234161025.57499072
484,1628294400000,239815256.30998313
485,1628380800000,249365255.13691688
486,1628467200000,239102536.7301072
487,1628553600000,241403102.2911171
488,1628640000000,258859084.78650567
489,1628726400000,262911822.52990627
490,1628812800000,251023072.80708864
491,1628899200000,264036488.81857276
492,1628985600000,267558754.33733353
493,1629072000000,269214029.17932856
494,1629158400000,270996371.85362417
495,1629244800000,260143286.88586763
496,1629331200000,255136190.01944682
497,1629417600000,254776901.13177624
498,1629504000000,280998765.0214591
499,1629590400000,278389202.6188341
500,1629676800000,280932325.50237846
501,1629763200000,295773486.1623638
502,1629849600000,290371984.8664094
503,1629936000000,314879186.92031986
504,1630022400000,304709025.23560584
505,1630108800000,315703591.3736166
506,1630195200000,310885094.8634886
507,1630281600000,314627665.68146306
508,1630368000000,306057394.89533675
509,1630454400000,313174852.02908427
510,1630540800000,327527007.33465344
511,1630627200000,337633641.3097555
512,1630713600000,580649445.549119
513,1630800000000,781608140.4879893
514,1630886400000,637324689.4428418
515,1630972800000,669156177.7833854
516,1631059200000,682167285.2065483
517,1631145600000,649155839.8835527
518,1631232000000,650489919.683855
519,1631318400000,577638943.3762243
520,1631404800000,562217580.1681399
521,1631491200000,565343349.3009146
522,1631577600000,690583932.514109
523,1631664000000,630759783.7439532
524,1631750400000,623115824.689215
525,1631836800000,594977274.5406172
526,1631923200000,656606494.2653698
527,1632009600000,622251483.5678788
528,1632096000000,596212020.4548161
529,1632182400000,526025198.64997435
530,1632268800000,471235205.4733187
531,1632355200000,537518377.2374791
532,1632441600000,583774367.705915
533,1632528000000,519051902.1111693
534,1632614400000,525428294.4646462
535,1632700800000,503363036.646988
536,1632787200000,498030032.19292486
537,1632873600000,457143437.74419767
538,1632960000000,464510175.83799124
539,1633046400000,603771726.0895419
540,1633132800000,639155246.9504458
541,1633219200000,659728912.0631936
542,1633305600000,738017439.4231945
543,1633392000000,800473184.1379939
544,1633478400000,753560564.1456941
545,1633564800000,762778549.2146844
546,1633651200000,747518267.4459537
547,1633737600000,696888419.9238609
548,1633824000000,687896986.2655265
549,1633910400000,702614635.4479474
550,1633996800000,680439358.8302088
551,1634083200000,640537719.8997133
552,1634169600000,655958627.4033749
553,1634256000000,675628497.3976754
554,1634342400000,622838647.081396
555,1634428800000,619855870.3350725
556,1634515200000,602222469.6842067
557,1634601600000,593678506.1426772
558,1634688000000,646730235.7984743
559,1634774400000,643485857.4283736
560,1634860800000,624827946.9966003
561,1634947200000,622187982.4232979
562,1635033600000,622123080.3725684
563,1635120000000,610016005.2941853
564,1635206400000,625798391.3610057
565,1635292800000,614470695.0315602
566,1635379200000,548400976.2613374
567,1635465600000,608724928.3084761
568,1635552000000,606667863.3528203
569,1635638400000,623523221.2113702
570,1635724800000,617723882.6564963
571,1635811200000,611941558.3610715
572,1635897600000,617469506.3987361
573,1635984000000,605561855.2200806
574,1636070400000,612228427.312893
575,1636156800000,601730166.6869969
576,1636243200000,599203726.4342471
577,1636329600000,602173847.1817627
578,1636416000000,600701944.46997
579,1636502400000,611993687.0131305
580,1636588800000,572915544.4264797
581,1636675200000,581863565.9445978
582,1636761600000,569047378.4990723
583,1636848000000,578271917.8814353
584,1636934400000,573390216.7606109
585,1637020800000,672431717.3855219
586,1637107200000,730719595.4450191
587,1637193600000,666280438.6095765
588,1637280000000,568120889.9173181
589,1637366400000,593386036.6466897
590,1637452800000,725433875.2212561
591,1637539200000,697831977.3410566
592,1637625600000,646589071.5446469
593,1637712000000,659746305.6168281
594,1637798400000,652865419.1262192
595,1637884800000,710879919.1195439
596,1637971200000,698163954.7103126
597,1638057600000,807791842.6854904
598,1638144000000,766558045.1614852
