Time,Solana Volume,Binance Volume,Cronos Volume,Ethereum Volume,Fantom Volume,Polymath Volume,Tron Volume,XRP Volume
2020-12-16,20667383.028789427,414821464.63638496,52503591.40746054,14781462845.092134,6468557.34127385,894785.8413569382,726161528.7841566,10642868836.239534
2020-12-17,19771583.134829283,549773127.6389786,72817387.04256454,19729196033.853622,10941311.016343754,1388517.9207384267,1099974957.6801963,14476826984.942177
2020-12-18,9944183.27492898,411494715.5457899,48628111.16928668,16512361338.574877,6057406.549141399,1832149.9070229551,842218283.6326222,10572616271.292404
2020-12-19,11133539.429365838,656751764.5993361,51529846.81086912,14703775003.28234,5823764.330500225,17076355.185308613,665356128.9342959,7861567140.236632
2020-12-20,11294828.80348789,732020161.0167117,52405633.28596526,12845420666.191206,11026060.649014844,33016040.49964376,957919564.8037282,6619472982.510808
2020-12-21,10231076.96252841,713959772.0509456,84984353.39479397,14563648896.243876,8093340.230851179,3507993.3050096794,883419768.2856585,7090693761.650875
2020-12-22,14598569.95920073,667525756.72639,64832819.92061374,11548425748.838194,5286321.854374284,1602609.7485450036,898658205.9749632,11195910016.75438
2020-12-23,21811152.39122753,715085462.9995052,56705287.62223627,16795838161.84157,7413089.105867577,3316514.926697219,958132478.8622252,14873825893.383224
2020-12-24,11669615.744971463,576913722.6583679,44429710.144163534,15132872519.529186,5514212.172842927,1631662.222046301,994285046.7428832,15221335122.706177
2020-12-25,11302457.898446824,481229184.400561,44080321.22706892,13125875205.90394,4566251.056411703,1040111.4326523026,1020924834.7868865,13152417764.349289
2020-12-26,8569139.626475705,507064929.03805727,44136324.00887618,14640527408.48169,5155320.530644166,2810295.956886861,856889525.2802724,7431667092.912673
2020-12-27,15721103.749787897,678051299.7817285,48452968.89263437,24721301579.88044,6198480.463702466,28729817.24227959,1224461271.3579772,7010555503.559292
2020-12-28,16248544.099952295,722362992.9008424,48673862.20564198,22707049400.143177,6649267.873719228,11261665.790801711,970352215.9841712,5788819181.423517
2020-12-29,34126955.314970545,1167579329.0255787,45660363.39056262,17170428247.761232,6888213.797233479,3412114.059033848,1072270405.2570568,10590299229.511703
2020-12-30,16897738.266745638,595689639.2379647,50599974.3930553,13293869466.928808,5698645.547903033,1682361.073341842,1055738424.1298764,6788558769.855404
2020-12-31,17111375.741750743,540443823.3416194,40010954.84968129,18166112097.655663,5317044.337048546,2852528.2896751305,1231160612.56954,4364513012.765856
2021-01-01,32991393.10011804,548599820.9229406,41315843.74853487,13843183079.15519,6093477.870942871,55650387.08989845,741705294.2429444,4606019123.280501
2021-01-02,41366106.07008067,637202193.8641078,149179085.63527665,20443662605.68775,5703923.097785393,6607247.839699446,927014804.1889012,3622428802.954543
2021-01-03,71243785.08334851,942962614.7706436,72793275.89341423,140906534190.58786,12092362.808104442,12184596.885041386,1345786636.023682,3986801676.050338
2021-01-04,74768826.60691226,962253282.3266126,145957376.38426688,62285144708.39812,17356826.11757125,4159333.606664689,1819580209.4367435,5235562377.385517
2021-01-05,65041612.88843685,750006113.3520838,71197610.11247945,47148245967.40434,14563153.135101276,4076610.1967618256,1699302025.2275798,3965486346.385545
2021-01-06,66770224.861168616,804566738.1656963,143506766.0942972,47886847354.00142,14450945.555024806,3432715.3384464234,1606750845.4571185,5964831226.894267
2021-01-07,219251174.2197483,993406143.510464,143493738.72596753,43042878463.81648,22308673.384207875,11366078.657610675,2111753236.2767043,13896459827.555267
2021-01-08,286755149.1133893,741620428.8442516,152983970.97358137,48132624602.86217,19107745.68276236,5079196.090433911,1863478582.3775685,7073230046.413266
2021-01-09,120168621.4158514,627647722.2753556,75058330.68498333,34851118090.66404,14815558.998060014,3490322.820783733,1810289727.543681,5434746112.270671
2021-01-10,80904486.74204415,809936299.3155736,96925417.45872922,44541377224.12463,17415591.711108327,5456359.594102801,2080692092.2499568,7389910221.259051
2021-01-11,106045335.58882752,1050223987.9080732,131821843.99940348,67107873698.86543,18973958.87854669,3032670.68257428,1706368167.4987564,7740853849.032595
