,Time,Cronos Market Cap
445,1624924800000,2758002793.7626953
446,1625011200000,2939793016.9730825
447,1625097600000,2913727489.959573
448,1625184000000,2851398499.0509615
449,1625270400000,2883893197.710627
450,1625356800000,2993652883.0555735
451,1625443200000,3107974035.835545
452,1625529600000,2937607465.114709
453,1625616000000,3083925594.0940943
454,1625702400000,3015062032.5890903
455,1625788800000,2857579296.618765
456,1625875200000,3043435589.702628
457,1625961600000,2991045167.783116
458,1626048000000,3312454887.1909347
459,1626134400000,3140932081.467935
460,1626220800000,3235536089.258275
461,1626307200000,3120958252.8808146
462,1626393600000,2881539131.142824
463,1626480000000,2793619112.734775
464,1626566400000,2846114430.1391783
465,1626652800000,2847380055.516908
466,1626739200000,2693275775.9823146
467,1626825600000,2602424062.356837
468,1626912000000,2780016510.0892477
469,1626998400000,2827827623.2442894
470,1627084800000,2873117651.607818
471,1627171200000,2901057043.679976
472,1627257600000,2957104078.425038
473,1627344000000,2935385623.937183
474,1627430400000,3057016009.7858105
475,1627516800000,3067123290.4724073
476,1627603200000,3138264255.727148
477,1627689600000,3229214996.5725393
478,1627776000000,3280595930.8613086
479,1627862400000,3124342987.4338317
480,1627948800000,3159443788.1649704
481,1628035200000,3031243502.393077
482,1628121600000,3189821639.448223
483,1628208000000,3279383286.901281
484,1628294400000,3317228964.5593452
485,1628380800000,3571343304.2341495
486,1628467200000,3456716509.5774093
487,1628553600000,3551543240.9199524
488,1628640000000,3596298555.596192
489,1628726400000,3697391080.7252445
490,1628812800000,3509168059.0636234
491,1628899200000,3841443255.9563227
492,1628985600000,3793988372.8885884
493,1629072000000,3798591327.8052444
494,1629158400000,3752429523.4857874
495,1629244800000,3584021286.706561
496,1629331200000,3625427157.59019
497,1629417600000,3674270258.3030267
498,1629504000000,3879909280.442379
499,1629590400000,3920049883.9690843
500,1629676800000,3942283439.2288275
501,1629763200000,4015426348.420782
502,1629849600000,3880415966.0730295
503,1629936000000,3988026928.6355195
504,1630022400000,3786751145.9325013
505,1630108800000,3962463381.260278
506,1630195200000,3938145168.7163515
507,1630281600000,4054561331.849697
508,1630368000000,3876439345.277422
509,1630454400000,3900425791.248805
510,1630540800000,4064217566.3723917
511,1630627200000,4111280089.416829
512,1630713600000,4202270437.1413493
