,Time,Ethereum Market Cap
344,1616198400000,209188785173.5874
345,1616284800000,209455699202.5177
346,1616371200000,206013222508.0891
347,1616457600000,195434685366.63266
348,1616544000000,192388701720.41965
349,1616630400000,183005042939.6772
350,1616716800000,182810172113.94278
351,1616803200000,195511706252.9431
352,1616889600000,197943394049.89084
353,1616976000000,194647792269.71985
354,1617062400000,209088522651.80023
355,1617148800000,212080597430.12268
356,1617235200000,221210690537.73203
357,1617321600000,227187483748.8278
358,1617408000000,246446284273.69153
359,1617494400000,233519912234.63
360,1617580800000,239721240194.1402
361,1617667200000,242118495324.83636
362,1617753600000,244306254505.299
363,1617840000000,229324263726.26553
364,1617926400000,240116470865.16214
365,1618012800000,238825167325.68292
366,1618099200000,246336623343.47812
367,1618185600000,247431817683.18906
368,1618272000000,247289165411.20078
369,1618358400000,265314823430.1463
370,1618444800000,281118122172.12756
371,1618531200000,290591950682.4659
372,1618617600000,280617563098.8275
373,1618704000000,271060261616.9552
374,1618790400000,259329079995.44214
375,1618876800000,251090482814.8267
376,1618963200000,269456185695.19864
377,1619049600000,274296843910.20834
378,1619136000000,280712855517.3182
379,1619222400000,273323480799.64493
380,1619308800000,258340689899.58817
381,1619395200000,266776799157.93356
382,1619481600000,292829223558.3116
383,1619568000000,306136280873.3804
384,1619654400000,317353332381.2044
385,1619740800000,318971242360.58826
386,1619827200000,321155845972.33514
387,1619913600000,340730211563.77893
388,1620000000000,341953594507.36664
389,1620086400000,398258027094.341
390,1620172800000,380565712269.779
391,1620259200000,409191426695.66266
392,1620345600000,405355930465.5294
393,1620432000000,404284565609.95483
394,1620518400000,450716254202.56744
395,1620604800000,455448294000.9345
396,1620691200000,461040789541.05756
397,1620777600000,481380994613.09344
398,1620864000000,465647015108.638
399,1620950400000,431105320829.47766
400,1621036800000,473724804234.6842
401,1621123200000,425715131137.06134
402,1621209600000,414265118099.5364
403,1621296000000,381161976477.9278
404,1621382400000,390227141901.1161
405,1621468800000,295232973801.7795
406,1621555200000,322162621074.79614
407,1621641600000,279623071718.589
408,1621728000000,268503273693.00333
409,1621814400000,244070264760.92874
410,1621900800000,306046123107.58295
411,1621987200000,312566215516.573
412,1622073600000,334435114557.1313
413,1622160000000,319404492002.5219
414,1622246400000,282228507934.91974
415,1622332800000,268672927561.12476
